證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外資買賣超,外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超,自營商買賣超,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),法人合計買賣超
082693,英業達凱基4C購01,0,0,0.0,0,0,0,0,0,0.0,631.0,0,0,0,634000,3000,631000,631.0
062492,材料統一56購01,0,0,0.0,0,0,0,0,0,0.0,629.0,0,0,0,629000,0,629000,629.0
084939,昇陽半元大4C購07,0,0,0.0,0,0,0,0,0,0.0,621.0,0,0,0,661000,40000,621000,621.0
037904,祥碩元大53購03,0,0,0.0,0,0,0,0,0,0.0,618.0,0,0,0,629000,11000,618000,618.0
030756,致茂統一57購02,0,0,0.0,0,0,0,0,0,0.0,615.0,0,0,0,745000,130000,615000,615.0
036295,台達電中信59購02,0,0,0.0,0,0,0,0,0,0.0,614.0,0,0,0,761000,147000,614000,614.0
062573,智邦元大4C購02,0,0,0.0,0,0,0,0,0,0.0,612.0,0,0,0,615000,3000,612000,612.0
085187,亞翔凱基51購04,0,0,0.0,0,0,0,0,0,0.0,612.0,0,0,0,706000,94000,612000,612.0
070724,台化永豐4B購01,0,0,0.0,0,0,0,0,0,0.0,610.0,0,0,0,613000,3000,610000,610.0
00648R,元大S&P500反1,0,0,0.0,0,0,0,0,0,0.0,604.44,250000,0,250000,393000,38560,354440,604.44
083858,道瓊銀凱基59購01,0,0,0.0,0,0,0,0,0,0.0,604.0,0,0,0,604000,0,604000,604.0
049887,材料統一59購01,0,0,0.0,0,0,0,0,0,0.0,604.0,0,0,0,604000,0,604000,604.0
034928,豐達科國票53購03,0,0,0.0,0,0,0,0,0,0.0,604.0,0,0,0,1002000,398000,604000,604.0
037342,聯發科富邦54購03,0,0,0.0,0,0,0,0,0,0.0,600.0,0,0,0,600000,0,600000,600.0
6446,藥華藥,1493976,917020,576.956,0,0,0,15000,2000,13.0,9.092,28302,9210,19092,0,10000,-10000,599.048
033713,群創元富52購03,0,0,0.0,0,0,0,0,0,0.0,598.0,0,0,0,598000,0,598000,598.0
030669,智邦群益52購03,0,0,0.0,0,0,0,0,0,0.0,598.0,0,0,0,700000,102000,598000,598.0
04927U,國巨群益58售01,0,0,0.0,0,0,0,0,0,0.0,596.0,0,0,0,596000,0,596000,596.0
038543,台達電兆豐56購01,0,0,0.0,0,0,0,0,0,0.0,595.0,0,0,0,615000,20000,595000,595.0
068380,華通統一52購01,0,0,0.0,0,0,0,0,0,0.0,594.0,0,0,0,602000,8000,594000,594.0
058184,緯創富邦4B購01,0,0,0.0,0,0,0,0,0,0.0,591.0,0,0,0,1079000,488000,591000,591.0
037785,貿聯元大54購24,0,0,0.0,0,0,0,0,0,0.0,591.0,0,0,0,719000,128000,591000,591.0
079870,聯電元大4B購01,0,0,0.0,0,0,0,0,0,0.0,590.0,0,0,0,600000,10000,590000,590.0
034027,鈺邦元大53購02,0,0,0.0,0,0,0,0,0,0.0,590.0,0,0,0,767000,177000,590000,590.0
00926,凱基全球菁英55,2118000,16000,2102.0,0,0,0,0,0,0.0,-1513.282,0,0,0,258718,1772000,-1513282,588.718
087815,愛普群益51購04,0,0,0.0,0,0,0,0,0,0.0,588.0,0,0,0,588000,0,588000,588.0
2493,揚博,840171,231308,608.863,0,0,0,0,22572,-22.572,-0.756,0,0,0,0,756,-756,585.535
089272,日月光元大51購04,0,0,0.0,0,0,0,0,0,0.0,584.0,0,0,0,584000,0,584000,584.0
031387,奇鋐永豐58購01,0,0,0.0,0,0,0,0,0,0.0,583.0,0,0,0,583000,0,583000,583.0
086759,日月光元大51購02,0,0,0.0,0,0,0,0,0,0.0,581.0,0,0,0,581000,0,581000,581.0
05317U,宏達電元富52售05,0,0,0.0,0,0,0,0,0,0.0,580.0,0,0,0,890000,310000,580000,580.0
064303,神達元大4A購01,0,0,0.0,0,0,0,0,0,0.0,576.0,0,0,0,584000,8000,576000,576.0
036266,辛耘元大54購04,0,0,0.0,0,0,0,0,0,0.0,570.0,0,0,0,570000,0,570000,570.0
04255U,世芯群益51售11,0,0,0.0,0,0,0,0,0,0.0,565.0,0,0,0,565000,0,565000,565.0
036521,國巨群益59購01,0,0,0.0,0,0,0,0,0,0.0,563.0,0,0,0,563000,0,563000,563.0
042869,鴻海統一57購01,0,0,0.0,0,0,0,0,0,0.0,559.0,0,0,0,559000,0,559000,559.0
076010,嘉澤元大51購03,0,0,0.0,0,0,0,0,0,0.0,559.0,0,0,0,559000,0,559000,559.0
00733,富邦臺灣中小,64000,1000,63.0,0,0,0,0,0,0.0,495.466,0,0,0,717516,222050,495466,558.466
034541,台光電富邦56購02,0,0,0.0,0,0,0,0,0,0.0,558.0,0,0,0,640000,82000,558000,558.0
035057,台光電統一59購02,0,0,0.0,0,0,0,0,0,0.0,557.0,0,0,0,724000,167000,557000,557.0
00664R,國泰臺灣加權反1,0,0,0.0,0,0,0,0,0,0.0,556.944,0,20000,-20000,6789000,6212056,576944,556.944
087593,奇鋐國票52購03,0,0,0.0,0,0,0,0,0,0.0,554.0,0,0,0,561000,7000,554000,554.0
071925,鈺邦統一56購01,0,0,0.0,0,0,0,0,0,0.0,552.0,0,0,0,816000,264000,552000,552.0
037441,金寶永豐54購01,0,0,0.0,0,0,0,0,0,0.0,550.0,0,0,0,550000,0,550000,550.0
035634,台達電群益53購05,0,0,0.0,0,0,0,0,0,0.0,550.0,0,0,0,570000,20000,550000,550.0
082321,嘉澤元大4B購09,0,0,0.0,0,0,0,0,0,0.0,550.0,0,0,0,570000,20000,550000,550.0
00898,國泰基因免疫革命,419000,8000,411.0,0,0,0,0,0,0.0,132.154,0,0,0,143253,11099,132154,543.154
086905,亞翔統一56購04,0,0,0.0,0,0,0,0,0,0.0,542.0,0,0,0,593000,51000,542000,542.0
05829U,臺股指元富54售03,0,0,0.0,0,0,0,0,0,0.0,539.0,0,0,0,540000,1000,539000,539.0
